City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,varhaug,0,NO,1531601400,76,58.61,5.65,57.2,2.24
161,oranjestad,20,AW,1531598400,70,12.52,-70.03,86.0,19.46
162,sumbe,12,AO,1531602437,100,-11.2,13.84,67.08,6.38
163,tezu,32,IN,1531602437,85,27.93,96.16,69.51,1.68
164,ler,40,NO,1531601400,82,63.2,10.3,57.2,2.24
165,cidreira,0,BR,1531602438,82,-30.17,-50.22,65.73,4.47
166,te anau,8,NZ,1531602303,76,-45.41,167.72,22.08,2.35
167,tuatapere,8,NZ,1531602438,100,-46.13,167.69,39.45,6.82
168,mount gambier,20,AU,1531602439,95,-37.83,140.78,43.32,4.7
169,harper,40,US,1531601700,32,30.3,-99.24,98.6,12.75
170,san juan,40,PR,1531598160,83,18.47,-66.12,82.4,13.87
171,khatanga,20,RU,1531602441,72,71.98,102.47,47.46,8.39
172,glendive,1,US,1531600500,26,47.11,-104.71,91.4,19.46
173,makakilo city,1,US,1531598220,62,21.35,-158.09,86.0,8.05
174,vista hermosa,20,MX,1531597200,63,14.92,-92.27,91.4,5.82
175,ponta do sol,0,BR,1531602442,55,-20.63,-46.0,69.6,2.8
176,bermejo,8,AR,1531602442,65,-22.73,-64.34,74.01,2.01
177,sinop,8,TR,1531602443,90,42.03,35.15,78.06,19.91
178,bela,24,PK,1531602443,79,26.23,66.31,79.95,3.13
179,keti bandar,44,PK,1531602444,98,24.14,67.45,83.28,15.88
180,mongo,24,CF,1531602444,96,4.83,22.92,70.68,4.03
181,bambous virieux,20,MU,1531598400,68,-20.34,57.76,69.8,6.93
182,northam,20,GB,1531601400,60,51.04,-4.21,69.8,6.93
183,inta,88,RU,1531602445,87,66.04,60.13,62.22,2.13
184,nara,0,JP,1531600200,88,34.68,135.8,80.6,2.24
185,aykhal,92,RU,1531602445,98,65.95,111.51,48.27,6.38
186,safford,1,US,1531597860,42,32.83,-109.71,86.0,5.82
187,capao da canoa,0,BR,1531602446,90,-29.75,-50.01,63.12,14.09
188,butterworth,75,MY,1531598400,83,5.4,100.37,80.6,2.24
189,kibala,20,TD,1531598400,61,9.11,18.35,80.6,4.7
190,zabol,0,IR,1531598400,14,31.03,61.49,91.4,9.17
191,quatre cocos,20,MU,1531598400,68,-20.21,57.76,69.8,6.93
192,talnakh,0,RU,1531602447,71,69.49,88.39,45.57,5.59
193,mbini,40,GQ,1531598400,94,1.58,9.62,77.0,6.93
194,cabo san lucas,5,MX,1531597680,38,22.89,-109.91,95.0,10.29
195,havoysund,56,NO,1531601400,93,71.0,24.66,46.4,6.93
196,komsomolskiy,12,RU,1531602448,62,67.55,63.78,61.5,9.73
197,hazorasp,0,UZ,1531598400,26,41.32,61.08,84.2,11.41
198,saint george,20,GR,1531601400,64,39.45,22.34,73.4,4.7
199,hirara,80,JP,1531602449,98,24.8,125.28,82.11,13.98
200,morgan city,40,US,1531601220,70,29.7,-91.21,89.6,5.82
201,presidencia roque saenz pena,0,AR,1531602449,49,-26.79,-60.44,82.47,16.55
202,barabinsk,0,RU,1531602449,62,55.35,78.35,61.05,13.76
203,flinders,0,AU,1531598400,100,-34.58,150.85,41.0,12.75
204,sambava,44,MG,1531602450,100,-14.27,50.17,73.38,19.46
205,rawson,92,AR,1531602450,80,-43.3,-65.11,44.76,11.63
206,paamiut,0,GL,1531602451,87,61.99,-49.67,43.95,11.74
207,itarema,0,BR,1531602361,57,-2.92,-39.92,82.47,15.21
208,shenjiamen,88,CN,1531602451,92,29.96,122.3,80.4,13.98
209,piotrkow trybunalski,0,PL,1531602000,93,51.41,19.7,62.6,4.7
210,lumeje,0,AO,1531602452,39,-11.56,20.78,56.82,5.82
211,moisakula,32,EE,1531602452,82,58.09,25.19,69.6,4.81
212,guantanamo,75,BO,1531598400,51,-16.14,-62.05,82.4,13.87
213,yaguaron,0,PY,1531602000,57,-25.6,-57.3,80.6,8.05
214,kloulklubed,90,PW,1531598040,83,7.04,134.26,82.4,8.05
215,alice springs,0,AU,1531600200,27,-23.7,133.88,37.4,3.36
216,hay river,75,CA,1531598400,87,60.82,-115.79,53.6,6.93
217,marawi,64,PH,1531602453,98,8.0,124.29,68.34,2.46
218,mayo,75,CA,1531598400,28,63.59,-135.9,68.0,9.17
219,woodward,1,US,1531601700,36,36.43,-99.39,93.2,10.29
220,qaracala,0,AZ,1531602454,80,39.81,48.95,82.38,6.38
221,mahibadhoo,24,MV,1531602454,100,3.78,72.97,83.46,6.04
222,periyapatti,88,IN,1531602455,80,11.22,78.15,75.45,10.63
223,port lincoln,64,AU,1531602455,100,-34.72,135.86,51.78,12.41
224,tautira,40,PF,1531600200,74,-17.73,-149.15,80.6,10.29
225,rylsk,8,RU,1531602455,95,51.57,34.68,63.93,4.25
226,yemelyanovo,32,RU,1531600200,93,56.17,92.69,59.0,2.24
227,puerto escondido,75,MX,1531597440,59,15.86,-97.07,89.6,8.05
228,vila do maio,20,CV,1531598400,78,15.13,-23.22,77.0,14.99
229,xichang,92,CN,1531602457,100,27.88,102.25,56.82,1.57
230,fayetteville,75,US,1531598280,52,36.06,-94.16,93.2,9.17
231,sitka,24,US,1531602457,62,37.17,-99.65,88.77,11.41
232,ahipara,92,NZ,1531602458,100,-35.17,173.16,57.18,11.63
233,margate,0,AU,1531598400,93,-43.03,147.26,37.4,1.12
234,loukhi,24,RU,1531602458,49,66.08,33.04,66.54,6.04
235,kudahuvadhoo,68,MV,1531602458,100,2.67,72.89,80.13,6.04
236,norman wells,20,CA,1531598400,37,65.28,-126.83,69.8,17.22
237,souillac,0,FR,1531602000,47,45.6,-0.6,78.8,6.04
238,san andres,64,PH,1531602460,100,13.32,122.68,81.93,20.24
239,rio de janeiro,0,BR,1531598400,83,-22.91,-43.21,78.8,11.41
240,avera,75,US,1531600500,55,33.19,-82.53,91.4,6.93
241,bethel,90,US,1531597980,76,60.79,-161.76,51.8,10.29
242,vestmannaeyjar,92,IS,1531602461,90,63.44,-20.27,53.58,8.95
243,rio gallegos,0,AR,1531598400,64,-51.62,-69.22,37.4,11.41
244,shimoda,0,JP,1531602462,95,34.7,138.93,79.23,4.14
245,pochutla,75,MX,1531597740,46,15.74,-96.47,93.2,11.41
246,tokur,68,RU,1531602462,95,53.13,132.9,58.71,2.68
247,aksu,0,KZ,1531600200,93,52.04,76.93,64.4,11.18
248,humaita,0,AR,1531598400,9,-24.93,-65.37,82.4,3.36
249,aste,20,IT,1531599600,61,45.79,11.1,77.0,10.29
250,ambon,0,FR,1531602000,53,47.55,-2.56,73.4,9.17
251,niteroi,0,BR,1531598400,60,-29.95,-51.16,77.0,3.36
252,seredeyskiy,76,RU,1531602464,89,54.05,35.23,65.46,3.58
253,chipata,0,ZM,1531602465,75,-13.64,32.65,60.87,9.06
254,alofi,75,NU,1531598400,83,-19.06,-169.92,77.0,10.29
255,general roca,0,AR,1531598400,28,-39.03,-67.58,59.0,10.29
256,yingkou,88,CN,1531602300,98,40.67,122.24,74.19,6.26
257,san jose,92,PH,1531602467,100,15.79,120.99,71.49,1.23
258,pavlovsk,36,RU,1531600200,93,53.31,82.99,64.4,6.71
259,barstow,1,US,1531601700,25,31.46,-103.39,98.6,9.17
260,dingzhou,68,CN,1531598400,100,38.51,115.0,77.0,4.59
261,alice,40,US,1531601760,52,27.75,-98.07,96.8,17.22
262,khandyga,92,RU,1531602468,100,62.65,135.58,60.96,5.93
263,berestechko,92,UA,1531602469,94,50.36,25.12,63.12,11.97
264,brigantine,1,US,1531601760,33,39.41,-74.36,91.4,12.75
265,buenaventura,88,CO,1531602469,100,3.89,-77.07,71.31,2.57
266,lakatoro,12,VU,1531602469,95,-16.11,167.42,77.52,7.27
267,wahiawa,20,US,1531598220,69,21.5,-158.02,86.0,5.82
268,dajal,68,PK,1531602470,53,29.56,70.38,91.74,4.7
269,surt,0,LY,1531602470,98,31.21,16.59,75.18,5.26
270,arman,90,RU,1531598400,93,59.7,150.17,51.8,4.47
271,naze,75,NG,1531598400,100,5.43,7.07,75.2,2.24
272,sanjwal,75,PK,1531598400,74,33.76,72.43,87.8,11.41
273,matara,0,PE,1531602471,48,-13.74,-72.9,52.23,2.35
274,kibre mengist,92,ET,1531602472,99,5.87,38.99,58.89,2.35
275,abu samrah,0,SY,1531602472,56,35.3,37.18,78.33,13.53
276,sinnamary,64,GF,1531602472,97,5.38,-52.96,81.3,12.53
277,marzuq,100,YE,1531602472,16,14.4,46.47,87.51,6.38
278,jega,12,NG,1531602472,76,12.22,4.38,81.12,4.7
279,barra,0,BR,1531602471,40,-11.09,-43.14,82.02,7.38
280,teyateyaneng,0,LS,1531602473,73,-29.15,27.74,23.07,2.46
281,dongying,64,CN,1531602473,90,37.43,118.67,80.4,6.93
282,ishigaki,92,JP,1531602473,100,24.34,124.16,80.67,11.52
283,jiwani,32,PK,1531602474,97,25.05,61.74,81.48,5.59
284,saint-joseph,0,FR,1531602000,64,43.56,6.97,78.8,3.36
285,porto novo,0,BR,1531602000,43,-23.68,-45.44,73.4,2.24
286,mirabad,0,IR,1531602475,26,28.27,61.33,67.35,3.24
287,nome,40,US,1531601700,52,30.04,-94.42,93.2,5.82
288,grand-santi,12,GF,1531602476,42,4.27,-54.38,90.48,2.91
289,san luis,0,AR,1531602476,37,-33.3,-66.34,70.32,2.91
290,istok,92,PL,1531602477,100,52.66,23.48,61.59,9.95
291,tessalit,0,ML,1531602477,13,20.2,1.01,91.2,11.41
292,constitucion,40,MX,1531597380,24,23.99,-104.67,80.6,4.47
293,saint-augustin,0,FR,1531602000,57,44.83,-0.61,78.8,8.05
294,richards bay,76,ZA,1531602478,75,-28.77,32.06,59.07,16.78
295,namibe,0,AO,1531602478,100,-15.19,12.15,66.81,10.74
296,iturama,0,BR,1531602478,40,-19.73,-50.2,80.76,3.36
297,clarence town,0,AU,1531598400,84,-32.59,151.78,37.4,9.17
298,lorengau,88,PG,1531602479,100,-2.02,147.27,79.05,5.93
299,mount isa,0,AU,1531598400,25,-20.73,139.49,50.0,8.05
300,uberlandia,36,BR,1531602479,43,-18.92,-48.28,75.9,3.13
301,ugoofaaru,20,MV,1531602480,100,5.67,73.0,82.83,13.53
302,am timan,32,TD,1531602480,93,11.04,20.28,74.37,4.36
303,faya,20,SA,1531598400,47,18.39,42.45,77.0,4.7
304,isangel,12,VU,1531602480,98,-19.55,169.27,75.18,5.48
305,cayenne,75,GF,1531600200,78,4.94,-52.33,78.8,8.61
306,afrikanda,36,RU,1531602481,73,67.44,32.78,58.98,2.13
307,kawai,0,JP,1531600200,88,34.58,135.74,80.6,2.24
308,changji,0,CN,1531602481,90,32.07,116.17,77.52,2.8
309,bathsheba,40,BB,1531598400,70,13.22,-59.52,86.0,12.75
310,alghero,40,IT,1531599600,88,40.56,8.32,78.8,8.05
311,timra,20,SE,1531601400,77,62.49,17.33,68.0,3.36
312,kropotkin,32,RU,1531602483,70,45.43,40.58,71.67,7.38
313,bantou,44,CN,1531602483,91,26.22,117.49,70.05,2.01
314,pontianak,36,ID,1531602483,89,-0.02,109.34,80.22,8.95
315,isiro,32,CD,1531602484,94,2.77,27.62,67.17,1.9
316,lompoc,1,US,1531600500,42,34.64,-120.46,82.4,10.29
317,okhotsk,92,RU,1531602484,100,59.36,143.24,54.12,6.15
318,lalmohan,92,BD,1531602484,93,22.34,90.74,81.75,14.65
319,khulo,90,GE,1531598400,88,41.64,42.31,71.6,14.99
320,monte alegre,64,BR,1531602485,93,-2.0,-54.07,77.52,3.47
321,farafangana,76,MG,1531602485,100,-22.82,47.83,69.15,0.56
322,pisco,20,PE,1531598400,77,-13.71,-76.2,66.2,8.05
323,palauig,92,PH,1531602486,100,15.44,119.9,73.83,6.38
324,pervomayskiy,44,RU,1531602487,49,53.24,40.29,73.65,8.16
325,erenhot,68,CN,1531602487,48,43.65,111.97,73.92,11.86
326,kieta,92,PG,1531602487,100,-6.22,155.63,76.17,2.01
327,ardon,90,RU,1531598400,77,43.18,44.31,69.8,2.24
328,kem,68,UG,1531602488,97,2.68,33.77,61.86,3.58
329,muros,90,ES,1531602000,88,42.77,-9.06,66.2,5.82
330,caravelas,20,BR,1531602488,100,-17.73,-39.27,75.18,5.7
331,iralaya,40,HN,1531598400,70,15.0,-83.23,87.8,9.17
332,nanakuli,20,US,1531598220,69,21.39,-158.15,86.0,5.82
333,champerico,20,MX,1531597200,46,16.38,-93.6,89.6,5.26
334,bolshevik,75,BY,1531600200,88,54.01,27.57,62.6,4.47
335,boralday,90,KZ,1531600200,82,43.36,76.86,66.2,6.71
336,lodja,36,CD,1531602490,45,-3.52,23.6,77.34,2.68
337,mandal,68,MN,1531602490,82,48.82,106.5,54.66,3.58
338,udachnyy,92,RU,1531602490,98,66.42,112.4,48.63,4.36
339,yakeshi,32,CN,1531602491,87,49.28,120.73,59.79,7.72
340,abu dhabi,0,AE,1531598400,79,24.47,54.37,91.4,3.36
341,fairbanks,90,US,1531598280,42,64.84,-147.72,64.4,9.17
342,swarzedz,0,PL,1531602000,68,52.41,17.09,66.2,4.7
343,katsuura,0,JP,1531602492,89,33.93,134.5,75.9,1.12
344,carutapera,56,BR,1531602492,100,-1.2,-46.02,74.82,6.93
345,aklavik,40,CA,1531598400,43,68.22,-135.01,71.6,11.41
346,dharchula,100,IN,1531602493,100,29.85,80.53,56.19,0.78
347,coquimbo,76,CL,1531598400,87,-29.95,-71.34,53.6,4.7
348,rasskazovo,12,RU,1531602493,44,52.66,41.88,74.46,7.16
349,balkanabat,0,TM,1531602494,68,39.51,54.36,77.88,3.13
350,tete,0,MZ,1531602494,93,-16.16,33.59,58.35,2.68
351,bontang,48,ID,1531602494,100,0.12,117.47,79.77,9.73
352,san nicolas,56,HN,1531602495,53,14.94,-88.33,82.47,2.91
353,vila velha,0,BR,1531602000,74,-3.71,-38.6,78.8,9.17
354,taoudenni,0,ML,1531602495,8,22.68,-3.98,100.65,16.67
355,half moon bay,40,US,1531600800,82,37.46,-122.43,86.0,9.17
356,pangnirtung,80,CA,1531602496,99,66.15,-65.72,44.67,4.14
357,boali,20,CF,1531598400,88,4.81,18.11,77.0,3.91
358,areosa,0,PT,1531602000,88,41.72,-8.86,68.0,2.24
359,negombo,40,LK,1531599000,88,7.21,79.83,80.6,13.87
360,portland,20,US,1531601580,32,45.52,-122.67,86.0,10.29
361,nuuk,20,GL,1531601400,71,64.17,-51.74,55.4,9.17
362,rudnogorsk,76,RU,1531602498,87,57.27,103.75,58.53,2.35
363,winnemucca,1,US,1531601760,8,40.97,-117.74,100.4,4.7
364,honiara,20,SB,1531598400,100,-9.43,159.96,71.6,2.24
365,zhezkazgan,40,KZ,1531600200,64,47.8,67.71,68.0,8.95
366,kruisfontein,92,ZA,1531602499,100,-34.0,24.73,56.73,6.38
367,kendrapara,75,IN,1531600200,100,20.5,86.42,78.8,2.24
368,plavinas,80,LV,1531602499,80,56.62,25.73,68.07,5.59
369,amahai,92,ID,1531602499,100,-3.31,129.0,79.59,10.51
370,parvatsar,20,IN,1531602500,95,26.88,74.77,78.42,2.13
371,nikko,20,JP,1531602500,95,36.75,139.62,73.92,0.45
372,yulara,0,AU,1531598400,40,-25.24,130.99,33.8,5.82
373,lossiemouth,75,GB,1531601400,64,57.72,-3.28,68.0,6.93
374,ostrovnoy,80,RU,1531602501,48,68.05,39.51,66.27,8.39
375,nantucket,1,US,1531600500,60,41.28,-70.1,75.2,9.17
376,vardo,20,US,1531601700,46,39.62,-77.74,89.6,3.58
377,karratha,0,AU,1531602502,73,-20.74,116.85,49.35,9.28
378,tumpat,75,MY,1531598400,94,6.2,102.17,78.8,3.36
379,nouakchott,64,MR,1531602502,99,18.08,-15.98,78.15,6.38
380,chenzhou,12,CN,1531602503,92,25.81,113.03,72.66,2.57
381,davidson,1,US,1531602000,45,35.5,-80.85,91.4,3.91
382,marsh harbour,12,BS,1531602314,100,26.54,-77.06,83.46,1.68
383,xinmin,40,CN,1531600200,94,42.0,122.83,75.2,2.24
384,monkey bay,92,MW,1531602504,97,-14.08,34.91,74.28,12.75
385,klaksvik,68,FO,1531601400,100,62.23,-6.59,50.0,5.82
